Date,Day,Event Type,Event Name,Details,Start Time,Price,Location,Slide Footer,Slide Type,Hidden Notes,Accent Hex Colour,Countdown Finish,Feature QR,Footer QR,Footer Hyperlink,Slide Duration,Slide Background,Foreground Image,Bubble Text,Lock Slide,Lock Day,Lock Time
03/04/2026,Friday,Super Rugby,Crusaders,vs Fijian Drua,7:05 pm,,"Apollo Projects, Chch",,,,,,,,,,,,,,,
04/04/2026,Saturday,Karaoke,with Mel & Dave,Vouchers to be Won!,8:00 pm,,,Warriors game is late,,,,,,,,,,,,,,
05/04/2026,Sunday,NRL,Warriors,@ Sharks,4:00 pm,,Sydney (Away),Sunday afternoon footy,,,,,,,,,,,,,,
11/04/2026,Saturday,Super Rugby,Crusaders,@ Reds,9:35 pm,,Brisbane (Away),Late night screen,,,,,,,,,,,,,,
11/04/2026,Saturday,Band,Mandy,,8:00 pm,,PLAYING HERE LIVE!,CLASH: Games during band,,,,,,,,,,,,,,
11/04/2026,Saturday,NRL,Warriors,@ Storm,~9:30 PM,,Melbourne (Away),Late night screen,,,,,,,,,,,,,,
18/04/2026,Saturday,Super Rugby,Crusaders,@ Force,11:55 pm,,Perth (Away),Extremely late,,,,,,,,,,,,,,
18/04/2026,Saturday,Karaoke,with Mel & Dave,Vouchers to be Won!,8:00 pm,,,,,,,,,,,,,,,,,
18/04/2026,Saturday,NRL,Warriors,vs Titans,5:00 pm,,"Go Media Stadium, Auckland",Perfect lead-in to Karaoke,,,,,,,,,,,,,,
24/04/2026,Friday,Super Rugby,Crusaders,vs Waratahs,7:35 pm,,"One NZ Stadium, Chch",Super Round opening,,,,,,,,,,,,,,
25/04/2026,Saturday, Band,Danny,,8:00 pm,,PLAYING HERE LIVE!,,,,,,,,,,,,,,,
25/04/2026,Saturday,NRL,Warriors,vs Dolphins,6:00 pm,,Wellington,Anzac Day,,,,,,,,,,,,,,
29/04/2026,Wednesday,Weekly Event,Quiz Night,"Every Wednesday Night from 7.00pm, $190 in prizes up for grabs. Bookings Essential.",,FREE ENTRY,,,,,#eab308,,,,,,images/bg2.jpg,,,,,
30/04/2026,Thursday,Weekly Special,Burger Day Thursdays,"Your choice of Chicken, Beer Battered Fish, Pork Belly or Coasters Beef Burger, all served with Golden Fries & Onion Rings.",,$19 each or 2 for $35!,,,,,#f97316,,,,,,images/bg3.jpg,,,,,
30/04/2026,Thursday,Happy Hour,Happy Hours!,Enjoy 10% discount on selected beverages between 4.30pm & 6.30pm.,,10% Off!,,,,,#3b82f6,,,,,,images/bg4.jpg,,,,,
30/04/2026,Thursday,Weekly Event,Free Pool Thursdays,Our Pool Table is Free all day and night on Thursdays! Grab a cue and challenge your mates.,,FREE,,,,,#f97316,,,,,,images/bg1.jpg,,,,,
01/05/2026,Friday,Super Rugby,Crusaders,@ Hurricanes,7:05 pm,,Wellington,,,,,,,,,,,,,,,
01/05/2026,Friday,Happy Hour,Happy Hours!,Enjoy 10% discount on selected beverages between 4.30pm & 6.30pm.,,10% Off!,,,,,#3b82f6,,,,,,images/bg4.jpg,,,,,
02/05/2026,Saturday,Karaoke,with Mel & Dave,Vouchers to be Won!,8:00 pm,,,,,,,,,,,,,,,,,
02/05/2026,Saturday,NRL,Warriors,@ Eels,7:30 pm,,Sydney (Away),CLASH: Overlaps with Karaoke,,,,,,,,,,,,,,
03/05/2026,Sunday,Weekly Special,Two Course Sunday Roast,"Traditional roast of the day with roasted vegetables, seasonal greens and rich gravy, with an Ice Cream Sundae to finish.",,$28,,,,,#84cc16,,,,,,images/bg2.jpg,,,,,
04/05/2026,Monday,Weekly Special,Steak Day Monday's,"Start your week off with a 200g Succulent Rump Steak, cooked to your liking, served with golden fries and a green garden salad.",,$20,,,,,#f59e0b,,,,,,images/bg1.jpg,,,,,
06/05/2026,Wednesday,Weekly Event,Quiz Night,"Every Wednesday Night from 7.00pm, $190 in prizes up for grabs. Bookings Essential.",,FREE ENTRY,,,,,#eab308,,,,,,images/bg2.jpg,,,,,
07/05/2026,Thursday,Weekly Special,Burger Day Thursdays,"Your choice of Chicken, Beer Battered Fish, Pork Belly or Coasters Beef Burger, all served with Golden Fries & Onion Rings.",,$19 each or 2 for $35!,,,,,#f97316,,,,,,images/bg3.jpg,,,,,
07/05/2026,Thursday,Happy Hour,Happy Hours!,Enjoy 10% discount on selected beverages between 4.30pm & 6.30pm.,,10% Off!,,,,,#3b82f6,,,,,,images/bg4.jpg,,,,,
07/05/2026,Thursday,Weekly Event,Free Pool Thursdays,Our Pool Table is Free all day and night on Thursdays! Grab a cue and challenge your mates.,,FREE,,,,,#f97316,,,,,,images/bg1.jpg,,,,,
08/05/2026,Friday,Super Rugby,Crusaders,vs Blues,7:05 pm,,"One NZ Stadium, Chch",Blockbuster,,,,,,,,,,,,,,
08/05/2026,Friday,Happy Hour,Happy Hours!,Enjoy 10% discount on selected beverages between 4.30pm & 6.30pm.,,10% Off!,,,,,#3b82f6,,,,,,images/bg4.jpg,,,,,
09/05/2026,Saturday, Band,String Theory,,8:00 pm,,PLAYING HERE LIVE!,,,,,,,,,,,,,,,
10/05/2026,Sunday,Weekly Special,Two Course Sunday Roast,"Traditional roast of the day with roasted vegetables, seasonal greens and rich gravy, with an Ice Cream Sundae to finish.",,$28,,,,,#84cc16,,,,,,images/bg2.jpg,,,,,
11/05/2026,Monday,Weekly Special,Steak Day Monday's,"Start your week off with a 200g Succulent Rump Steak, cooked to your liking, served with golden fries and a green garden salad.",,$20,,,,,#f59e0b,,,,,,images/bg1.jpg,,,,,
13/05/2026,Wednesday,Weekly Event,Quiz Night,"Every Wednesday Night from 7.00pm, $190 in prizes up for grabs. Bookings Essential.",,FREE ENTRY,,,,,#eab308,,,,,,images/bg2.jpg,,,,,
14/05/2026,Thursday,Weekly Special,Burger Day Thursdays,"Your choice of Chicken, Beer Battered Fish, Pork Belly or Coasters Beef Burger, all served with Golden Fries & Onion Rings.",,$19 each or 2 for $35!,,,,,#f97316,,,,,,images/bg3.jpg,,,,,
14/05/2026,Thursday,Happy Hour,Happy Hours!,Enjoy 10% discount on selected beverages between 4.30pm & 6.30pm.,,10% Off!,,,,,#3b82f6,,,,,,images/bg4.jpg,,,,,
14/05/2026,Thursday,Weekly Event,Free Pool Thursdays,Our Pool Table is Free all day and night on Thursdays! Grab a cue and challenge your mates.,,FREE,,,,,#f97316,,,,,,images/bg1.jpg,,,,,
15/05/2026,Friday,Happy Hour,Happy Hours!,Enjoy 10% discount on selected beverages between 4.30pm & 6.30pm.,,10% Off!,,,,,#3b82f6,,,,,,images/bg4.jpg,,,,,
16/05/2026,Saturday,Karaoke,with Mel & Dave,Vouchers to be Won!,8:00 pm,,,,,,,,,,,,,,,,,
17/05/2026,Sunday,Weekly Special,Two Course Sunday Roast,"Traditional roast of the day with roasted vegetables, seasonal greens and rich gravy, with an Ice Cream Sundae to finish.",,$28,,,,,#84cc16,,,,,,images/bg2.jpg,,,,,
18/05/2026,Monday,Weekly Special,Steak Day Monday's,"Start your week off with a 200g Succulent Rump Steak, cooked to your liking, served with golden fries and a green garden salad.",,$20,,,,,#f59e0b,,,,,,images/bg1.jpg,,,,,
20/05/2026,Wednesday,Weekly Event,Quiz Night,"Every Wednesday Night from 7.00pm, $190 in prizes up for grabs. Bookings Essential.",,FREE ENTRY,,,,,#eab308,,,,,,images/bg2.jpg,,,,,
21/05/2026,Thursday,Weekly Special,Burger Day Thursdays,"Your choice of Chicken, Beer Battered Fish, Pork Belly or Coasters Beef Burger, all served with Golden Fries & Onion Rings.",,$19 each or 2 for $35!,,,,,#f97316,,,,,,images/bg3.jpg,,,,,
21/05/2026,Thursday,Happy Hour,Happy Hours!,Enjoy 10% discount on selected beverages between 4.30pm & 6.30pm.,,10% Off!,,,,,#3b82f6,,,,,,images/bg4.jpg,,,,,
21/05/2026,Thursday,Weekly Event,Free Pool Thursdays,Our Pool Table is Free all day and night on Thursdays! Grab a cue and challenge your mates.,,FREE,,,,,#f97316,,,,,,images/bg1.jpg,,,,,
22/05/2026,Friday,Super Rugby,Crusaders,vs Chiefs,7:05 pm,,"One NZ Stadium, Chch",,,,,,,,,,,,,,,
22/05/2026,Friday,Happy Hour,Happy Hours!,Enjoy 10% discount on selected beverages between 4.30pm & 6.30pm.,,10% Off!,,,,,#3b82f6,,,,,,images/bg4.jpg,,,,,
23/05/2026,Saturday,Karaoke,with Mel & Dave,Vouchers to be Won!,8:00 pm,,,,,,,,,,,,,,,,,
24/05/2026,Sunday,Weekly Special,Two Course Sunday Roast,"Traditional roast of the day with roasted vegetables, seasonal greens and rich gravy, with an Ice Cream Sundae to finish.",,$28,,,,,#84cc16,,,,,,images/bg2.jpg,,,,,
25/05/2026,Monday,Weekly Special,Steak Day Monday's,"Start your week off with a 200g Succulent Rump Steak, cooked to your liking, served with golden fries and a green garden salad.",,$20,,,,,#f59e0b,,,,,,images/bg1.jpg,,,,,
27/05/2026,Wednesday,Weekly Event,Quiz Night,"Every Wednesday Night from 7.00pm, $190 in prizes up for grabs. Bookings Essential.",,FREE ENTRY,,,,,#eab308,,,,,,images/bg2.jpg,,,,,
28/05/2026,Thursday,Weekly Special,Burger Day Thursdays,"Your choice of Chicken, Beer Battered Fish, Pork Belly or Coasters Beef Burger, all served with Golden Fries & Onion Rings.",,$19 each or 2 for $35!,,,,,#f97316,,,,,,images/bg3.jpg,,,,,
28/05/2026,Thursday,Happy Hour,Happy Hours!,Enjoy 10% discount on selected beverages between 4.30pm & 6.30pm.,,10% Off!,,,,,#3b82f6,,,,,,images/bg4.jpg,,,,,
28/05/2026,Thursday,Weekly Event,Free Pool Thursdays,Our Pool Table is Free all day and night on Thursdays! Grab a cue and challenge your mates.,,FREE,,,,,#f97316,,,,,,images/bg1.jpg,,,,,
29/05/2026,Friday,Super Rugby,Crusaders,vs Hurricanes,7:05 pm,,"One NZ Stadium, Chch",,,,,,,,,,,,,,,
29/05/2026,Friday,Happy Hour,Happy Hours!,Enjoy 10% discount on selected beverages between 4.30pm & 6.30pm.,,10% Off!,,,,,#3b82f6,,,,,,images/bg4.jpg,,,,,
30/05/2026,Saturday,Karaoke,with Mel & Dave,Vouchers to be Won!,8:00 pm,,,,,,,,,,,,,,,,,
31/05/2026,Sunday,Weekly Special,Two Course Sunday Roast,"Traditional roast of the day with roasted vegetables, seasonal greens and rich gravy, with an Ice Cream Sundae to finish.",,$28,,,,,#84cc16,,,,,,images/bg2.jpg,,,,,
31/05/2026,Sunday,NRL,Warriors,@ Panthers,8:15 pm,,Sydney (Away),Sunday night game,,,,,,,,,,,,,,
01/06/2026,Monday,Weekly Special,Steak Day Monday's,"Start your week off with a 200g Succulent Rump Steak, cooked to your liking, served with golden fries and a green garden salad.",,$20,,,,,#f59e0b,,,,,,images/bg1.jpg,,,,,
03/06/2026,Wednesday,Weekly Event,Quiz Night,"Every Wednesday Night from 7.00pm, $190 in prizes up for grabs. Bookings Essential.",,FREE ENTRY,,,,,#eab308,,,,,,images/bg2.jpg,,,,,
04/06/2026,Thursday,Weekly Special,Burger Day Thursdays,"Your choice of Chicken, Beer Battered Fish, Pork Belly or Coasters Beef Burger, all served with Golden Fries & Onion Rings.",,$19 each or 2 for $35!,,,,,#f97316,,,,,,images/bg3.jpg,,,,,
04/06/2026,Thursday,Happy Hour,Happy Hours!,Enjoy 10% discount on selected beverages between 4.30pm & 6.30pm.,,10% Off!,,,,,#3b82f6,,,,,,images/bg4.jpg,,,,,
04/06/2026,Thursday,Weekly Event,Free Pool Thursdays,Our Pool Table is Free all day and night on Thursdays! Grab a cue and challenge your mates.,,FREE,,,,,#f97316,,,,,,images/bg1.jpg,,,,,
05/06/2026,Friday,Happy Hour,Happy Hours!,Enjoy 10% discount on selected beverages between 4.30pm & 6.30pm.,,10% Off!,,,,,#3b82f6,,,,,,images/bg4.jpg,,,,,
